;Abs Path;Rel Path;Item Class
26;D:\Programming\AP_Lab3\dataset_3\593.jpg;dataset_3\593.jpg;bay horse
27;D:\Programming\AP_Lab3\dataset_3\7199.jpg;dataset_3\7199.jpg;bay horse
28;D:\Programming\AP_Lab3\dataset_3\2598.jpg;dataset_3\2598.jpg;bay horse
29;D:\Programming\AP_Lab3\dataset_3\6511.jpg;dataset_3\6511.jpg;bay horse
30;D:\Programming\AP_Lab3\dataset_3\7890.jpg;dataset_3\7890.jpg;bay horse
31;D:\Programming\AP_Lab3\dataset_3\6546.jpg;dataset_3\6546.jpg;bay horse
32;D:\Programming\AP_Lab3\dataset_3\8738.jpg;dataset_3\8738.jpg;bay horse
33;D:\Programming\AP_Lab3\dataset_3\789.jpg;dataset_3\789.jpg;bay horse
34;D:\Programming\AP_Lab3\dataset_3\8503.jpg;dataset_3\8503.jpg;bay horse
35;D:\Programming\AP_Lab3\dataset_3\4838.jpg;dataset_3\4838.jpg;bay horse
36;D:\Programming\AP_Lab3\dataset_3\8217.jpg;dataset_3\8217.jpg;bay horse
37;D:\Programming\AP_Lab3\dataset_3\1393.jpg;dataset_3\1393.jpg;bay horse
38;D:\Programming\AP_Lab3\dataset_3\602.jpg;dataset_3\602.jpg;bay horse
39;D:\Programming\AP_Lab3\dataset_3\1649.jpg;dataset_3\1649.jpg;bay horse
40;D:\Programming\AP_Lab3\dataset_3\5607.jpg;dataset_3\5607.jpg;bay horse
41;D:\Programming\AP_Lab3\dataset_3\9297.jpg;dataset_3\9297.jpg;bay horse
42;D:\Programming\AP_Lab3\dataset_3\2932.jpg;dataset_3\2932.jpg;bay horse
43;D:\Programming\AP_Lab3\dataset_3\1789.jpg;dataset_3\1789.jpg;bay horse
44;D:\Programming\AP_Lab3\dataset_3\8791.jpg;dataset_3\8791.jpg;bay horse
45;D:\Programming\AP_Lab3\dataset_3\1472.jpg;dataset_3\1472.jpg;bay horse
46;D:\Programming\AP_Lab3\dataset_3\9254.jpg;dataset_3\9254.jpg;bay horse
47;D:\Programming\AP_Lab3\dataset_3\777.jpg;dataset_3\777.jpg;bay horse
48;D:\Programming\AP_Lab3\dataset_3\3885.jpg;dataset_3\3885.jpg;bay horse
49;D:\Programming\AP_Lab3\dataset_3\4470.jpg;dataset_3\4470.jpg;bay horse
50;D:\Programming\AP_Lab3\dataset_3\7884.jpg;dataset_3\7884.jpg;bay horse
51;D:\Programming\AP_Lab3\dataset_3\7375.jpg;dataset_3\7375.jpg;bay horse
52;D:\Programming\AP_Lab3\dataset_3\3480.jpg;dataset_3\3480.jpg;bay horse
53;D:\Programming\AP_Lab3\dataset_3\9230.jpg;dataset_3\9230.jpg;bay horse
54;D:\Programming\AP_Lab3\dataset_3\1051.jpg;dataset_3\1051.jpg;bay horse
55;D:\Programming\AP_Lab3\dataset_3\4219.jpg;dataset_3\4219.jpg;bay horse
56;D:\Programming\AP_Lab3\dataset_3\4691.jpg;dataset_3\4691.jpg;bay horse
57;D:\Programming\AP_Lab3\dataset_3\5369.jpg;dataset_3\5369.jpg;bay horse
58;D:\Programming\AP_Lab3\dataset_3\987.jpg;dataset_3\987.jpg;bay horse
59;D:\Programming\AP_Lab3\dataset_3\1384.jpg;dataset_3\1384.jpg;bay horse
60;D:\Programming\AP_Lab3\dataset_3\1212.jpg;dataset_3\1212.jpg;bay horse
61;D:\Programming\AP_Lab3\dataset_3\15.jpg;dataset_3\15.jpg;bay horse
62;D:\Programming\AP_Lab3\dataset_3\4743.jpg;dataset_3\4743.jpg;bay horse
63;D:\Programming\AP_Lab3\dataset_3\8759.jpg;dataset_3\8759.jpg;bay horse
64;D:\Programming\AP_Lab3\dataset_3\655.jpg;dataset_3\655.jpg;bay horse
65;D:\Programming\AP_Lab3\dataset_3\9123.jpg;dataset_3\9123.jpg;bay horse
66;D:\Programming\AP_Lab3\dataset_3\194.jpg;dataset_3\194.jpg;bay horse
67;D:\Programming\AP_Lab3\dataset_3\5115.jpg;dataset_3\5115.jpg;bay horse
68;D:\Programming\AP_Lab3\dataset_3\4497.jpg;dataset_3\4497.jpg;bay horse
69;D:\Programming\AP_Lab3\dataset_3\4730.jpg;dataset_3\4730.jpg;bay horse
70;D:\Programming\AP_Lab3\dataset_3\5957.jpg;dataset_3\5957.jpg;bay horse
71;D:\Programming\AP_Lab3\dataset_3\920.jpg;dataset_3\920.jpg;bay horse
72;D:\Programming\AP_Lab3\dataset_3\4154.jpg;dataset_3\4154.jpg;bay horse
73;D:\Programming\AP_Lab3\dataset_3\5994.jpg;dataset_3\5994.jpg;bay horse
74;D:\Programming\AP_Lab3\dataset_3\7289.jpg;dataset_3\7289.jpg;bay horse
75;D:\Programming\AP_Lab3\dataset_3\6126.jpg;dataset_3\6126.jpg;bay horse
76;D:\Programming\AP_Lab3\dataset_3\2604.jpg;dataset_3\2604.jpg;bay horse
77;D:\Programming\AP_Lab3\dataset_3\2654.jpg;dataset_3\2654.jpg;bay horse
78;D:\Programming\AP_Lab3\dataset_3\7424.jpg;dataset_3\7424.jpg;bay horse
79;D:\Programming\AP_Lab3\dataset_3\6071.jpg;dataset_3\6071.jpg;bay horse
80;D:\Programming\AP_Lab3\dataset_3\9886.jpg;dataset_3\9886.jpg;bay horse
81;D:\Programming\AP_Lab3\dataset_3\2142.jpg;dataset_3\2142.jpg;bay horse
82;D:\Programming\AP_Lab3\dataset_3\5051.jpg;dataset_3\5051.jpg;bay horse
83;D:\Programming\AP_Lab3\dataset_3\7233.jpg;dataset_3\7233.jpg;bay horse
84;D:\Programming\AP_Lab3\dataset_3\2065.jpg;dataset_3\2065.jpg;bay horse
85;D:\Programming\AP_Lab3\dataset_3\9165.jpg;dataset_3\9165.jpg;bay horse
86;D:\Programming\AP_Lab3\dataset_3\9824.jpg;dataset_3\9824.jpg;bay horse
87;D:\Programming\AP_Lab3\dataset_3\1054.jpg;dataset_3\1054.jpg;bay horse
88;D:\Programming\AP_Lab3\dataset_3\1168.jpg;dataset_3\1168.jpg;bay horse
89;D:\Programming\AP_Lab3\dataset_3\7324.jpg;dataset_3\7324.jpg;bay horse
90;D:\Programming\AP_Lab3\dataset_3\4477.jpg;dataset_3\4477.jpg;bay horse
91;D:\Programming\AP_Lab3\dataset_3\4387.jpg;dataset_3\4387.jpg;bay horse
92;D:\Programming\AP_Lab3\dataset_3\7088.jpg;dataset_3\7088.jpg;bay horse
93;D:\Programming\AP_Lab3\dataset_3\3693.jpg;dataset_3\3693.jpg;bay horse
94;D:\Programming\AP_Lab3\dataset_3\4332.jpg;dataset_3\4332.jpg;bay horse
95;D:\Programming\AP_Lab3\dataset_3\4595.jpg;dataset_3\4595.jpg;bay horse
96;D:\Programming\AP_Lab3\dataset_3\580.jpg;dataset_3\580.jpg;bay horse
97;D:\Programming\AP_Lab3\dataset_3\5869.jpg;dataset_3\5869.jpg;bay horse
98;D:\Programming\AP_Lab3\dataset_3\9173.jpg;dataset_3\9173.jpg;bay horse
99;D:\Programming\AP_Lab3\dataset_3\7916.jpg;dataset_3\7916.jpg;bay horse
100;D:\Programming\AP_Lab3\dataset_3\9044.jpg;dataset_3\9044.jpg;bay horse
101;D:\Programming\AP_Lab3\dataset_3\7309.jpg;dataset_3\7309.jpg;bay horse
102;D:\Programming\AP_Lab3\dataset_3\4734.jpg;dataset_3\4734.jpg;bay horse
103;D:\Programming\AP_Lab3\dataset_3\7745.jpg;dataset_3\7745.jpg;bay horse
104;D:\Programming\AP_Lab3\dataset_3\819.jpg;dataset_3\819.jpg;bay horse
105;D:\Programming\AP_Lab3\dataset_3\3489.jpg;dataset_3\3489.jpg;bay horse
106;D:\Programming\AP_Lab3\dataset_3\1105.jpg;dataset_3\1105.jpg;bay horse
107;D:\Programming\AP_Lab3\dataset_3\40.jpg;dataset_3\40.jpg;bay horse
108;D:\Programming\AP_Lab3\dataset_3\9033.jpg;dataset_3\9033.jpg;bay horse
109;D:\Programming\AP_Lab3\dataset_3\4863.jpg;dataset_3\4863.jpg;bay horse
110;D:\Programming\AP_Lab3\dataset_3\9802.jpg;dataset_3\9802.jpg;bay horse
111;D:\Programming\AP_Lab3\dataset_3\374.jpg;dataset_3\374.jpg;bay horse
112;D:\Programming\AP_Lab3\dataset_3\3183.jpg;dataset_3\3183.jpg;bay horse
113;D:\Programming\AP_Lab3\dataset_3\2702.jpg;dataset_3\2702.jpg;bay horse
114;D:\Programming\AP_Lab3\dataset_3\6762.jpg;dataset_3\6762.jpg;bay horse
115;D:\Programming\AP_Lab3\dataset_3\969.jpg;dataset_3\969.jpg;bay horse
116;D:\Programming\AP_Lab3\dataset_3\8364.jpg;dataset_3\8364.jpg;bay horse
117;D:\Programming\AP_Lab3\dataset_3\8267.jpg;dataset_3\8267.jpg;bay horse
118;D:\Programming\AP_Lab3\dataset_3\6853.jpg;dataset_3\6853.jpg;bay horse
119;D:\Programming\AP_Lab3\dataset_3\2020.jpg;dataset_3\2020.jpg;bay horse
120;D:\Programming\AP_Lab3\dataset_3\6441.jpg;dataset_3\6441.jpg;bay horse
121;D:\Programming\AP_Lab3\dataset_3\3676.jpg;dataset_3\3676.jpg;bay horse
122;D:\Programming\AP_Lab3\dataset_3\5822.jpg;dataset_3\5822.jpg;bay horse
123;D:\Programming\AP_Lab3\dataset_3\2745.jpg;dataset_3\2745.jpg;bay horse
124;D:\Programming\AP_Lab3\dataset_3\2006.jpg;dataset_3\2006.jpg;bay horse
125;D:\Programming\AP_Lab3\dataset_3\53.jpg;dataset_3\53.jpg;bay horse
126;D:\Programming\AP_Lab3\dataset_3\8867.jpg;dataset_3\8867.jpg;bay horse
127;D:\Programming\AP_Lab3\dataset_3\2477.jpg;dataset_3\2477.jpg;bay horse
128;D:\Programming\AP_Lab3\dataset_3\1101.jpg;dataset_3\1101.jpg;bay horse
129;D:\Programming\AP_Lab3\dataset_3\9429.jpg;dataset_3\9429.jpg;bay horse
130;D:\Programming\AP_Lab3\dataset_3\1491.jpg;dataset_3\1491.jpg;bay horse
131;D:\Programming\AP_Lab3\dataset_3\6501.jpg;dataset_3\6501.jpg;bay horse
132;D:\Programming\AP_Lab3\dataset_3\4763.jpg;dataset_3\4763.jpg;bay horse
133;D:\Programming\AP_Lab3\dataset_3\9765.jpg;dataset_3\9765.jpg;bay horse
134;D:\Programming\AP_Lab3\dataset_3\5217.jpg;dataset_3\5217.jpg;bay horse
135;D:\Programming\AP_Lab3\dataset_3\8012.jpg;dataset_3\8012.jpg;bay horse
136;D:\Programming\AP_Lab3\dataset_3\1890.jpg;dataset_3\1890.jpg;bay horse
137;D:\Programming\AP_Lab3\dataset_3\240.jpg;dataset_3\240.jpg;bay horse
138;D:\Programming\AP_Lab3\dataset_3\6148.jpg;dataset_3\6148.jpg;bay horse
139;D:\Programming\AP_Lab3\dataset_3\1914.jpg;dataset_3\1914.jpg;bay horse
140;D:\Programming\AP_Lab3\dataset_3\9453.jpg;dataset_3\9453.jpg;bay horse
141;D:\Programming\AP_Lab3\dataset_3\1780.jpg;dataset_3\1780.jpg;bay horse
142;D:\Programming\AP_Lab3\dataset_3\158.jpg;dataset_3\158.jpg;bay horse
143;D:\Programming\AP_Lab3\dataset_3\107.jpg;dataset_3\107.jpg;bay horse
144;D:\Programming\AP_Lab3\dataset_3\6899.jpg;dataset_3\6899.jpg;bay horse
145;D:\Programming\AP_Lab3\dataset_3\4708.jpg;dataset_3\4708.jpg;bay horse
146;D:\Programming\AP_Lab3\dataset_3\3623.jpg;dataset_3\3623.jpg;bay horse
147;D:\Programming\AP_Lab3\dataset_3\1155.jpg;dataset_3\1155.jpg;bay horse
148;D:\Programming\AP_Lab3\dataset_3\3402.jpg;dataset_3\3402.jpg;bay horse
149;D:\Programming\AP_Lab3\dataset_3\8798.jpg;dataset_3\8798.jpg;bay horse
150;D:\Programming\AP_Lab3\dataset_3\1573.jpg;dataset_3\1573.jpg;bay horse
151;D:\Programming\AP_Lab3\dataset_3\4668.jpg;dataset_3\4668.jpg;bay horse
152;D:\Programming\AP_Lab3\dataset_3\237.jpg;dataset_3\237.jpg;bay horse
153;D:\Programming\AP_Lab3\dataset_3\1686.jpg;dataset_3\1686.jpg;bay horse
154;D:\Programming\AP_Lab3\dataset_3\5547.jpg;dataset_3\5547.jpg;bay horse
155;D:\Programming\AP_Lab3\dataset_3\3178.jpg;dataset_3\3178.jpg;bay horse
156;D:\Programming\AP_Lab3\dataset_3\693.jpg;dataset_3\693.jpg;bay horse
157;D:\Programming\AP_Lab3\dataset_3\7918.jpg;dataset_3\7918.jpg;bay horse
158;D:\Programming\AP_Lab3\dataset_3\7464.jpg;dataset_3\7464.jpg;bay horse
159;D:\Programming\AP_Lab3\dataset_3\2240.jpg;dataset_3\2240.jpg;bay horse
160;D:\Programming\AP_Lab3\dataset_3\2433.jpg;dataset_3\2433.jpg;bay horse
161;D:\Programming\AP_Lab3\dataset_3\1302.jpg;dataset_3\1302.jpg;bay horse
162;D:\Programming\AP_Lab3\dataset_3\2904.jpg;dataset_3\2904.jpg;bay horse
163;D:\Programming\AP_Lab3\dataset_3\7919.jpg;dataset_3\7919.jpg;bay horse
164;D:\Programming\AP_Lab3\dataset_3\7554.jpg;dataset_3\7554.jpg;bay horse
165;D:\Programming\AP_Lab3\dataset_3\6343.jpg;dataset_3\6343.jpg;bay horse
166;D:\Programming\AP_Lab3\dataset_3\7125.jpg;dataset_3\7125.jpg;bay horse
167;D:\Programming\AP_Lab3\dataset_3\2845.jpg;dataset_3\2845.jpg;bay horse
168;D:\Programming\AP_Lab3\dataset_3\4904.jpg;dataset_3\4904.jpg;bay horse
169;D:\Programming\AP_Lab3\dataset_3\3220.jpg;dataset_3\3220.jpg;bay horse
170;D:\Programming\AP_Lab3\dataset_3\512.jpg;dataset_3\512.jpg;bay horse
171;D:\Programming\AP_Lab3\dataset_3\9105.jpg;dataset_3\9105.jpg;bay horse
172;D:\Programming\AP_Lab3\dataset_3\4609.jpg;dataset_3\4609.jpg;bay horse
173;D:\Programming\AP_Lab3\dataset_3\939.jpg;dataset_3\939.jpg;bay horse
174;D:\Programming\AP_Lab3\dataset_3\2098.jpg;dataset_3\2098.jpg;bay horse
175;D:\Programming\AP_Lab3\dataset_3\8375.jpg;dataset_3\8375.jpg;bay horse
176;D:\Programming\AP_Lab3\dataset_3\7945.jpg;dataset_3\7945.jpg;bay horse
177;D:\Programming\AP_Lab3\dataset_3\6944.jpg;dataset_3\6944.jpg;bay horse
178;D:\Programming\AP_Lab3\dataset_3\2536.jpg;dataset_3\2536.jpg;bay horse
179;D:\Programming\AP_Lab3\dataset_3\7206.jpg;dataset_3\7206.jpg;bay horse
180;D:\Programming\AP_Lab3\dataset_3\8558.jpg;dataset_3\8558.jpg;bay horse
181;D:\Programming\AP_Lab3\dataset_3\3809.jpg;dataset_3\3809.jpg;bay horse
182;D:\Programming\AP_Lab3\dataset_3\6203.jpg;dataset_3\6203.jpg;bay horse
183;D:\Programming\AP_Lab3\dataset_3\3924.jpg;dataset_3\3924.jpg;bay horse
184;D:\Programming\AP_Lab3\dataset_3\9056.jpg;dataset_3\9056.jpg;bay horse
185;D:\Programming\AP_Lab3\dataset_3\3147.jpg;dataset_3\3147.jpg;bay horse
186;D:\Programming\AP_Lab3\dataset_3\4296.jpg;dataset_3\4296.jpg;bay horse
187;D:\Programming\AP_Lab3\dataset_3\9785.jpg;dataset_3\9785.jpg;bay horse
188;D:\Programming\AP_Lab3\dataset_3\6671.jpg;dataset_3\6671.jpg;bay horse
189;D:\Programming\AP_Lab3\dataset_3\1923.jpg;dataset_3\1923.jpg;bay horse
190;D:\Programming\AP_Lab3\dataset_3\9198.jpg;dataset_3\9198.jpg;bay horse
191;D:\Programming\AP_Lab3\dataset_3\6746.jpg;dataset_3\6746.jpg;bay horse
192;D:\Programming\AP_Lab3\dataset_3\8927.jpg;dataset_3\8927.jpg;bay horse
193;D:\Programming\AP_Lab3\dataset_3\4808.jpg;dataset_3\4808.jpg;bay horse
194;D:\Programming\AP_Lab3\dataset_3\1846.jpg;dataset_3\1846.jpg;bay horse
195;D:\Programming\AP_Lab3\dataset_3\810.jpg;dataset_3\810.jpg;bay horse
196;D:\Programming\AP_Lab3\dataset_3\8814.jpg;dataset_3\8814.jpg;bay horse
197;D:\Programming\AP_Lab3\dataset_3\7450.jpg;dataset_3\7450.jpg;bay horse
198;D:\Programming\AP_Lab3\dataset_3\3254.jpg;dataset_3\3254.jpg;bay horse
199;D:\Programming\AP_Lab3\dataset_3\7720.jpg;dataset_3\7720.jpg;bay horse
200;D:\Programming\AP_Lab3\dataset_3\8345.jpg;dataset_3\8345.jpg;bay horse
201;D:\Programming\AP_Lab3\dataset_3\5213.jpg;dataset_3\5213.jpg;bay horse
202;D:\Programming\AP_Lab3\dataset_3\2101.jpg;dataset_3\2101.jpg;bay horse
203;D:\Programming\AP_Lab3\dataset_3\7351.jpg;dataset_3\7351.jpg;bay horse
204;D:\Programming\AP_Lab3\dataset_3\5003.jpg;dataset_3\5003.jpg;bay horse
205;D:\Programming\AP_Lab3\dataset_3\1301.jpg;dataset_3\1301.jpg;bay horse
206;D:\Programming\AP_Lab3\dataset_3\4757.jpg;dataset_3\4757.jpg;bay horse
207;D:\Programming\AP_Lab3\dataset_3\4445.jpg;dataset_3\4445.jpg;bay horse
208;D:\Programming\AP_Lab3\dataset_3\7230.jpg;dataset_3\7230.jpg;bay horse
209;D:\Programming\AP_Lab3\dataset_3\3852.jpg;dataset_3\3852.jpg;bay horse
210;D:\Programming\AP_Lab3\dataset_3\9990.jpg;dataset_3\9990.jpg;bay horse
211;D:\Programming\AP_Lab3\dataset_3\1377.jpg;dataset_3\1377.jpg;bay horse
212;D:\Programming\AP_Lab3\dataset_3\7595.jpg;dataset_3\7595.jpg;bay horse
213;D:\Programming\AP_Lab3\dataset_3\8092.jpg;dataset_3\8092.jpg;bay horse
214;D:\Programming\AP_Lab3\dataset_3\2066.jpg;dataset_3\2066.jpg;bay horse
215;D:\Programming\AP_Lab3\dataset_3\6368.jpg;dataset_3\6368.jpg;bay horse
216;D:\Programming\AP_Lab3\dataset_3\5567.jpg;dataset_3\5567.jpg;bay horse
217;D:\Programming\AP_Lab3\dataset_3\5652.jpg;dataset_3\5652.jpg;bay horse
218;D:\Programming\AP_Lab3\dataset_3\5956.jpg;dataset_3\5956.jpg;bay horse
219;D:\Programming\AP_Lab3\dataset_3\9721.jpg;dataset_3\9721.jpg;bay horse
220;D:\Programming\AP_Lab3\dataset_3\8158.jpg;dataset_3\8158.jpg;bay horse
221;D:\Programming\AP_Lab3\dataset_3\4597.jpg;dataset_3\4597.jpg;bay horse
222;D:\Programming\AP_Lab3\dataset_3\6005.jpg;dataset_3\6005.jpg;bay horse
223;D:\Programming\AP_Lab3\dataset_3\8500.jpg;dataset_3\8500.jpg;bay horse
224;D:\Programming\AP_Lab3\dataset_3\9331.jpg;dataset_3\9331.jpg;bay horse
225;D:\Programming\AP_Lab3\dataset_3\1095.jpg;dataset_3\1095.jpg;bay horse
226;D:\Programming\AP_Lab3\dataset_3\4438.jpg;dataset_3\4438.jpg;bay horse
227;D:\Programming\AP_Lab3\dataset_3\670.jpg;dataset_3\670.jpg;bay horse
228;D:\Programming\AP_Lab3\dataset_3\7333.jpg;dataset_3\7333.jpg;bay horse
229;D:\Programming\AP_Lab3\dataset_3\4925.jpg;dataset_3\4925.jpg;bay horse
230;D:\Programming\AP_Lab3\dataset_3\8439.jpg;dataset_3\8439.jpg;bay horse
231;D:\Programming\AP_Lab3\dataset_3\4825.jpg;dataset_3\4825.jpg;bay horse
232;D:\Programming\AP_Lab3\dataset_3\5962.jpg;dataset_3\5962.jpg;bay horse
233;D:\Programming\AP_Lab3\dataset_3\6618.jpg;dataset_3\6618.jpg;bay horse
234;D:\Programming\AP_Lab3\dataset_3\1007.jpg;dataset_3\1007.jpg;bay horse
235;D:\Programming\AP_Lab3\dataset_3\8549.jpg;dataset_3\8549.jpg;bay horse
236;D:\Programming\AP_Lab3\dataset_3\8627.jpg;dataset_3\8627.jpg;bay horse
237;D:\Programming\AP_Lab3\dataset_3\4204.jpg;dataset_3\4204.jpg;bay horse
238;D:\Programming\AP_Lab3\dataset_3\2294.jpg;dataset_3\2294.jpg;bay horse
239;D:\Programming\AP_Lab3\dataset_3\2692.jpg;dataset_3\2692.jpg;bay horse
240;D:\Programming\AP_Lab3\dataset_3\5019.jpg;dataset_3\5019.jpg;bay horse
241;D:\Programming\AP_Lab3\dataset_3\5486.jpg;dataset_3\5486.jpg;bay horse
242;D:\Programming\AP_Lab3\dataset_3\4842.jpg;dataset_3\4842.jpg;bay horse
243;D:\Programming\AP_Lab3\dataset_3\1818.jpg;dataset_3\1818.jpg;bay horse
244;D:\Programming\AP_Lab3\dataset_3\5434.jpg;dataset_3\5434.jpg;bay horse
245;D:\Programming\AP_Lab3\dataset_3\4877.jpg;dataset_3\4877.jpg;bay horse
246;D:\Programming\AP_Lab3\dataset_3\4294.jpg;dataset_3\4294.jpg;bay horse
247;D:\Programming\AP_Lab3\dataset_3\2930.jpg;dataset_3\2930.jpg;bay horse
248;D:\Programming\AP_Lab3\dataset_3\2570.jpg;dataset_3\2570.jpg;bay horse
249;D:\Programming\AP_Lab3\dataset_3\6777.jpg;dataset_3\6777.jpg;bay horse
250;D:\Programming\AP_Lab3\dataset_3\574.jpg;dataset_3\574.jpg;bay horse
251;D:\Programming\AP_Lab3\dataset_3\677.jpg;dataset_3\677.jpg;bay horse
252;D:\Programming\AP_Lab3\dataset_3\7079.jpg;dataset_3\7079.jpg;bay horse
253;D:\Programming\AP_Lab3\dataset_3\1245.jpg;dataset_3\1245.jpg;bay horse
254;D:\Programming\AP_Lab3\dataset_3\9821.jpg;dataset_3\9821.jpg;bay horse
255;D:\Programming\AP_Lab3\dataset_3\3193.jpg;dataset_3\3193.jpg;bay horse
256;D:\Programming\AP_Lab3\dataset_3\7187.jpg;dataset_3\7187.jpg;bay horse
257;D:\Programming\AP_Lab3\dataset_3\4297.jpg;dataset_3\4297.jpg;bay horse
258;D:\Programming\AP_Lab3\dataset_3\2414.jpg;dataset_3\2414.jpg;bay horse
259;D:\Programming\AP_Lab3\dataset_3\4077.jpg;dataset_3\4077.jpg;bay horse
260;D:\Programming\AP_Lab3\dataset_3\9892.jpg;dataset_3\9892.jpg;bay horse
261;D:\Programming\AP_Lab3\dataset_3\3194.jpg;dataset_3\3194.jpg;bay horse
262;D:\Programming\AP_Lab3\dataset_3\781.jpg;dataset_3\781.jpg;bay horse
263;D:\Programming\AP_Lab3\dataset_3\9928.jpg;dataset_3\9928.jpg;bay horse
264;D:\Programming\AP_Lab3\dataset_3\6518.jpg;dataset_3\6518.jpg;bay horse
265;D:\Programming\AP_Lab3\dataset_3\5762.jpg;dataset_3\5762.jpg;bay horse
266;D:\Programming\AP_Lab3\dataset_3\2890.jpg;dataset_3\2890.jpg;bay horse
267;D:\Programming\AP_Lab3\dataset_3\8481.jpg;dataset_3\8481.jpg;bay horse
268;D:\Programming\AP_Lab3\dataset_3\9344.jpg;dataset_3\9344.jpg;bay horse
269;D:\Programming\AP_Lab3\dataset_3\2538.jpg;dataset_3\2538.jpg;bay horse
270;D:\Programming\AP_Lab3\dataset_3\5644.jpg;dataset_3\5644.jpg;bay horse
271;D:\Programming\AP_Lab3\dataset_3\8441.jpg;dataset_3\8441.jpg;bay horse
272;D:\Programming\AP_Lab3\dataset_3\1999.jpg;dataset_3\1999.jpg;bay horse
273;D:\Programming\AP_Lab3\dataset_3\4625.jpg;dataset_3\4625.jpg;bay horse
274;D:\Programming\AP_Lab3\dataset_3\5330.jpg;dataset_3\5330.jpg;bay horse
275;D:\Programming\AP_Lab3\dataset_3\5127.jpg;dataset_3\5127.jpg;bay horse
276;D:\Programming\AP_Lab3\dataset_3\3525.jpg;dataset_3\3525.jpg;bay horse
277;D:\Programming\AP_Lab3\dataset_3\4850.jpg;dataset_3\4850.jpg;bay horse
278;D:\Programming\AP_Lab3\dataset_3\8304.jpg;dataset_3\8304.jpg;bay horse
279;D:\Programming\AP_Lab3\dataset_3\3312.jpg;dataset_3\3312.jpg;bay horse
280;D:\Programming\AP_Lab3\dataset_3\6916.jpg;dataset_3\6916.jpg;bay horse
281;D:\Programming\AP_Lab3\dataset_3\5016.jpg;dataset_3\5016.jpg;bay horse
282;D:\Programming\AP_Lab3\dataset_3\2556.jpg;dataset_3\2556.jpg;bay horse
283;D:\Programming\AP_Lab3\dataset_3\7028.jpg;dataset_3\7028.jpg;bay horse
284;D:\Programming\AP_Lab3\dataset_3\1878.jpg;dataset_3\1878.jpg;bay horse
285;D:\Programming\AP_Lab3\dataset_3\1489.jpg;dataset_3\1489.jpg;bay horse
286;D:\Programming\AP_Lab3\dataset_3\3223.jpg;dataset_3\3223.jpg;bay horse
287;D:\Programming\AP_Lab3\dataset_3\2395.jpg;dataset_3\2395.jpg;bay horse
288;D:\Programming\AP_Lab3\dataset_3\298.jpg;dataset_3\298.jpg;bay horse
289;D:\Programming\AP_Lab3\dataset_3\4451.jpg;dataset_3\4451.jpg;bay horse
290;D:\Programming\AP_Lab3\dataset_3\9752.jpg;dataset_3\9752.jpg;bay horse
291;D:\Programming\AP_Lab3\dataset_3\7976.jpg;dataset_3\7976.jpg;bay horse
